Sensor,0,4,wrist,Orientation
Sensor,1,4,palm,Orientation
Sensor,2,4,thumb,Orientation
Sensor,3,4,index,Orientation
Sensor,4,4,mid,Orientation
Sensor,5,4,ring,Orientation
Sensor,6,4,pinky,Orientation
0,0,0.0018558100336316108,-0.6994884765167628,-0.708617324237178,-0.09259543714632651
1,0,0.6900634765625,-0.4426142695482844,-0.51690673828125,0.24639892578125003
2,0,0.18408203125000006,-0.8630314871295997,-0.39129638671875006,0.2611083984375001
3,0,0.11968994140625003,-0.9096188022597129,-0.33038330078125006,0.22161865234375008
4,7,0.13916015625000003,-0.9089871601181739,-0.3682861328125,0.13690185546875006
5,7,0.13751220703125003,-0.8136305050856343,-0.53369140625,0.18511962890625006
6,7,0.2156192308842769,-0.7180767777717276,-0.6246742889950005,0.21830281987742714
0,30,0.0018558100336316108,-0.6994884765167628,-0.708617324237178,-0.09259543714632651
1,30,0.6900634765625,-0.4426142695482844,-0.51690673828125,0.24639892578125003
2,30,0.18408203125000006,-0.8630314871295997,-0.39129638671875006,0.2611083984375001
3,30,0.11968994140625003,-0.9096188022597129,-0.33038330078125006,0.22161865234375008
4,46,0.13916015625000003,-0.9089871601181739,-0.3682861328125,0.13690185546875006
5,46,0.13751220703125003,-0.8136305050856343,-0.53369140625,0.18511962890625006
6,46,0.2156192308842769,-0.7180767777717276,-0.6246742889950005,0.21830281987742714
0,63,0.0018558100336316108,-0.6994884765167628,-0.708617324237178,-0.09259543714632651
1,63,0.6900634765625,-0.4426142695482844,-0.51690673828125,0.24639892578125003
2,63,0.18408203125000006,-0.8630314871295997,-0.39129638671875006,0.2611083984375001
3,63,0.11968994140625003,-0.9096188022597129,-0.33038330078125006,0.22161865234375008
4,79,0.13916015625000003,-0.9089871601181739,-0.3682861328125,0.13690185546875006
5,79,0.13751220703125003,-0.8136305050856343,-0.53369140625,0.18511962890625006
6,79,0.2156192308842769,-0.7180767777717276,-0.6246742889950005,0.21830281987742714
0,95,0.0018558100336316108,-0.6994884765167628,-0.708617324237178,-0.09259543714632651
1,95,0.6900634765625,-0.4426142695482844,-0.51690673828125,0.24639892578125003
2,95,0.18408203125000006,-0.8630314871295997,-0.39129638671875006,0.2611083984375001
3,95,0.11968994140625003,-0.9096188022597129,-0.33038330078125006,0.22161865234375008
4,111,0.13916015625000003,-0.9089871601181739,-0.3682861328125,0.13690185546875006
5,111,0.13751220703125003,-0.8136305050856343,-0.53369140625,0.18511962890625006
6,111,0.2156192308842769,-0.7180767777717276,-0.6246742889950005,0.21830281987742714
0,128,0.0018558100336316108,-0.6994884765167628,-0.708617324237178,-0.09259543714632651
1,128,0.6900634765625,-0.4426142695482844,-0.51690673828125,0.24639892578125003
2,128,0.18408203125000006,-0.8630314871295997,-0.39129638671875006,0.2611083984375001
3,128,0.11968994140625003,-0.9096188022597129,-0.33038330078125006,0.22161865234375008
4,144,0.13916015625000003,-0.9089871601181739,-0.3682861328125,0.13690185546875006
5,144,0.13751220703125003,-0.8136305050856343,-0.53369140625,0.18511962890625006
6,144,0.2156192308842769,-0.7180767777717276,-0.6246742889950005,0.21830281987742714
0,161,0.0018558100336316108,-0.6994884765167628,-0.708617324237178,-0.09259543714632651
1,161,0.6900634765625,-0.4426142695482844,-0.51690673828125,0.24639892578125003
2,161,0.18408203125000006,-0.8630314871295997,-0.39129638671875006,0.2611083984375001
3,161,0.11968994140625003,-0.9096188022597129,-0.33038330078125006,0.22161865234375008
4,178,0.13916015625000003,-0.9089871601181739,-0.3682861328125,0.13690185546875006
5,178,0.13751220703125003,-0.8136305050856343,-0.53369140625,0.18511962890625006
6,178,0.2156192308842769,-0.7180767777717276,-0.6246742889950005,0.21830281987742714
0,194,0.0018558100336316108,-0.6994884765167628,-0.708617324237178,-0.09259543714632651
1,194,0.6900634765625,-0.4426142695482844,-0.51690673828125,0.24639892578125003
2,194,0.18408203125000006,-0.8630314871295997,-0.39129638671875006,0.2611083984375001
3,194,0.11968994140625003,-0.9096188022597129,-0.33038330078125006,0.22161865234375008
4,210,0.13916015625000003,-0.9089871601181739,-0.3682861328125,0.13690185546875006
5,210,0.13751220703125003,-0.8136305050856343,-0.53369140625,0.18511962890625006
6,210,0.2156192308842769,-0.7180767777717276,-0.6246742889950005,0.21830281987742714
0,226,0.0018558100336316108,-0.6994884765167628,-0.708617324237178,-0.09259543714632651
1,226,0.6900634765625,-0.4426142695482844,-0.51690673828125,0.24639892578125003
2,226,0.18408203125000006,-0.8630314871295997,-0.39129638671875006,0.2611083984375001
3,226,0.11968994140625003,-0.9096188022597129,-0.33038330078125006,0.22161865234375008
4,242,0.13916015625000003,-0.9089871601181739,-0.3682861328125,0.13690185546875006
5,242,0.13751220703125003,-0.8136305050856343,-0.53369140625,0.18511962890625006
6,242,0.2156192308842769,-0.7180767777717276,-0.6246742889950005,0.21830281987742714
0,259,0.0018558100336316108,-0.6994884765167628,-0.708617324237178,-0.09259543714632651
1,259,0.6900634765625,-0.4426142695482844,-0.51690673828125,0.24639892578125003
2,259,0.18408203125000006,-0.8630314871295997,-0.39129638671875006,0.2611083984375001
3,259,0.11968994140625003,-0.9096188022597129,-0.33038330078125006,0.22161865234375008
4,275,0.13916015625000003,-0.9089871601181739,-0.3682861328125,0.13690185546875006
5,275,0.13751220703125003,-0.8136305050856343,-0.53369140625,0.18511962890625006
6,275,0.2156192308842769,-0.7180767777717276,-0.6246742889950005,0.21830281987742714
0,292,0.0018558100336316108,-0.6994884765167628,-0.708617324237178,-0.09259543714632651
1,292,0.6900634765625,-0.4426142695482844,-0.51690673828125,0.24639892578125003
2,292,0.18408203125000006,-0.8630314871295997,-0.39129638671875006,0.2611083984375001
3,292,0.11968994140625003,-0.9096188022597129,-0.33038330078125006,0.22161865234375008
4,309,0.13916015625000003,-0.9089871601181739,-0.3682861328125,0.13690185546875006
